Business Date,Symbol,Transaction Date and Time,Last Price (USD),Last Quantity
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-LALS000,09/03/26 12:00 AM EDT,$0.55,96
20260903,MLB-TRUNS-FG-0146MLS6L8S8JGG-GTE-P00115,09/03/26 12:00 AM EDT,$0.25,18
20260903,COMBO-13097144615598403773,09/03/26 12:00 AM EDT,$0.52,9
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,101
20260903,MLB-TRUNS-FG-0146MLUNL8S8IEG-GTE-P00035,09/03/26 12:00 AM EDT,$0.46,489
20260903,MLB-PHRN-FG-0146MLS6L8S8JGG-KYER000-GTE-P00005,09/03/26 12:00 AM EDT,$0.09,51
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,20
20260903,COMBO-16157982444556509413,09/03/26 12:00 AM EDT,$0.26,7
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,16
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,2
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,32
20260903,COMBO-15893597349174612123,09/03/26 12:00 AM EDT,$0.04,92
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-LALS000,09/03/26 12:00 AM EDT,$0.54,9
20260903,CFB-MOVY-FG-00C07DTCKV3MDMO-UTAH002-GTE-P00345,09/03/26 12:00 AM EDT,$0.56,17
20260903,MLB-MOVY-FG-01OFJROCVSSHMGO-LARS000-GTE-P00015,09/03/26 12:00 AM EDT,$0.55,38
20260903,MLB-PHRN-FG-0146MLS6L8S8JGG-TEEZ000-GTE-P00005,09/03/26 12:00 AM EDT,$0.08,29
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,100
20260903,MLB-WIN-FG-014BUR1OLBSMURG-DERS000,09/03/26 12:00 AM EDT,$0.94,21
20260903,MLB-PTBS-FG-0146MLS6L8S8JGG-THSE000-GTE-P00045,09/03/26 12:00 AM EDT,$0.19,99
20260903,MLB-MOVY-FG-0146MLUNL8S8IEG-NYES000-GTE-P00015,09/03/26 12:00 AM EDT,$0.22,17
20260903,MLB-PHRN-FG-0146MLS6L8S8JGG-SHNI001-GTE-P00005,09/03/26 12:00 AM EDT,$0.02,1
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,20
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-LALS000,09/03/26 12:00 AM EDT,$0.53,61
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,100
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-LALS000,09/03/26 12:00 AM EDT,$0.54,5
20260903,COMBO-11008466177737909979,09/03/26 12:00 AM EDT,$0.45,4
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-LALS000,09/03/26 12:00 AM EDT,$0.54,8
20260903,MLB-MOVY-FG-01OFIVU0VSSKANG-HOOS000-GTE-P00015,09/03/26 12:00 AM EDT,$0.42,68
20260903,MLB-WIN-FG-0146MLS6L8S8JGG-STLS000,09/03/26 12:00 AM EDT,$0.09,103
20260903,CFB-WIN-FG-03I7R1BVEMAJMJG-GECH004,09/03/26 12:00 AM EDT,$0.71,32
20260903,COMBO-7439257402100285951,09/03/26 12:00 AM EDT,$0.48,200
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,60
20260903,MLB-TRUNS-FG-0146MLUNL8S8IEG-GTE-P00035,09/03/26 12:00 AM EDT,$0.46,600
20260903,MLB-TRUNS-FG-0146MLUNL8S8IEG-GTE-P00035,09/03/26 12:00 AM EDT,$0.46,8
20260903,MLB-WIN-FG-0146MLUNL8S8IEG-NYES000,09/03/26 12:00 AM EDT,$0.48,128
20260903,CFB-TPTS-FG-03I7R1BVEMAJMJG-GTE-P00485,09/03/26 12:00 AM EDT,$0.58,83
20260903,COMBO-3028204953971813388,09/03/26 12:00 AM EDT,$0.29,12
20260903,MLB-MOVY-FG-0146MLUNL8S8IEG-NYES000-GTE-P00015,09/03/26 12:00 AM EDT,$0.22,9
20260903,COMBO-13858298444414244624,09/03/26 12:00 AM EDT,$0.31,837
20260903,MLB-TRUNS-FG-0146MLUNL8S8IEG-GTE-P00035,09/03/26 12:00 AM EDT,$0.46,321
